hash,benchmark,verified-result,claimed-result,mallob-kicaliglu,paracooba
055f942145df4b6c9fd0d10a3f1da98e,atco_enc1_opt1_15_240.cnf,sat,sat,5.604,29.801
0593e6814f02ec9749e87bdc6aff8275,mrpp_6x6#14_10.cnf,sat,sat,2.492,1.071
05b04d362b374569a4eb63c4e4e132b7,mp1-9_3.cnf,sat,sat,2.529,5.298
05c5ff612371a5773e857212174f625b,ezfact64_9.shuffled-as.sat03-1525.cnf,sat,sat,6.283,11.227
05eb87eb6fecb7a8a3bdc25154412c1d,VanDerWaerden_pd_2-3-24_592.cnf,sat,sat,3.474,2000.0
05f5567936f582edc0d3ea9903f540bc,sgen1-sat-230-100.cnf,sat,sat,7.186,10.345
05fbbab9f0baf819ed9593cca8587629,satsgi-n24himBHm28-p0-q282.cnf,sat,sat,2.279,0.043
0616ca6b1e0ae639d12e19ed310963a9,satcoin-genesis-SAT-4.cnf,sat,sat,2.58,26.65
06172049e6804cbfb07f993023f2684f,VanDerWaerden_pd_2-3-29_809.cnf,sat,sat,58.327,2000.0
06326dd7bab63b892d2c147d5928468c,smtlib-qfbv-aigs-bin_libsmbsharemodes_vc6201-tseitin.cnf,sat,sat,2.596,3.848
06385be5ecfc7df22b2c956093cef85f,depots3_v01a.renamed-as.sat05-3950.cnf,sat,sat,2.406,0.072
064ba3c61c5f105104edec8305853711,puzzle35_sat.cnf,sat,sat,55.226,2000.0
066813ab5f3b7b1cc6d2847c37f5fae7,ezfact32_10.shuffled.cnf,sat,sat,2.675,0.12
06a36581f14e399a76a5110449ebe739,driverlog2_v01a.renamed-as.sat05-3961.cnf,sat,sat,2.3,0.042
06d96f79264e9991a5a0a417c401657a,g2-mult1.c.50.smt2-cvc4.cnf,sat,sat,2.614,125.67
06e46ab0acac57a61638cbb741949a98,complete-500-0.1-1-9876543215001.cnf,sat,sat,2.382,0.416
06e928088bd822602edb83e41ce8dadb,satcoin-genesis-SAT-10.cnf,sat,sat,2.685,16.588
06f538d7af257560476f9100e36d4445,gcdmax16bits_22.cnf,sat,sat,13.301,27.85
072785fd927ff0fd180ce8b9cc00078f,20180321_140826713_p_cnf_320_1120.cnf,sat,sat,2.494,0.944
075e1eef00500b25ceb5ea4823ccf1b0,3col140_5_1.shuffled.cnf,sat,sat,2.272,0.123
076305ce31dd18724a3de91045800acc,26_stack_cas_longest_true-unreach-call.i-cbmc-u2-sc2016.cnf,sat,sat,39.55,145.359
07682e22f82f9257d44b45777ac06168,lksat-n900-m3357-k3-l5-s241765501.used-as.sat04-936.cnf,sat,sat,2.327,0.135
076fba8945d3a54a06f326474477077d,mrpp_6x6#12_9.cnf,sat,sat,2.391,1.039
0779cddacfa34241cdf579cb2370ab8e,instance_n8_i9_pp_ci_ce.cnf,sat,sat,57.31,2000.0
0779ed19ae69bf464cce003d1a573246,008.cnf,sat,sat,4.583,2000.0
07c3cce524e2b85d8315ac4397ef08c4,puzzle47_sat.cnf,unknown,sat,307.86,2000.0
07d20a83feca9295e862a7d583da5971,UTI-20-10t1.cnf,sat,sat,3.762,2.767
080896c437245ac25eb6d3ad6df12c4f,bv-term-small-rw_1492.smt2.cnf,sat,sat,2.472,0.076
0810eb03d022334fdd1d5a6ad4969d47,gss-18-s100.cnf,sat,sat,2.682,130.873
083030713683d8ab8e1d54372f241863,Kakuro-easy-089-ext.xml.hg_4.cnf,sat,sat,18.499,138.018
0842eb01dc00232edc0b26ccb2f19f25,6-4-6-sc2018.cnf,sat,sat,114.358,326.271
08530caa5c9232f2ffc5163cf79b38e7,satcoin-genesis-SAT-64.cnf,sat,sat,2.621,314.161
0876c518e5653369e20fb1ee0bb8db40,mp1-klieber2017s-0500-023-t12.cnf,sat,sat,5.302,11.327
088ffd086f2d5e55553d5e79aa30aaf5,4col280_9_9.shuffled.cnf,sat,sat,29.705,2000.0
089456508f74be2d96f4112cc495f80a,Eternity-10-06_c18.cnf,sat,sat,4.675,107.93
