hash,benchmark,verified-result,claimed-result,CaDiCaL-watchsat-lto,CaDiCaL_DVDL_V1,CaDiCaL_DVDL_V2,CadicalReorder,Cadical_ESA,IsaSAT,Kissat-MAB-rephasing,Kissat_MAB-HyWalk,Kissat_MAB_ESA,Kissat_MAB_MOSS,Kissat_MAB_UCB,Kissat_adaptive_restart,Kissat_cfexp,LSTech_CaDiCaL,LSTech_Maple,LSTech_kissat,LStech-Maple-BandSAT,LStech-Maple-FPS,LStech-Maple-HyWalk,MapleLCMDistChrBt-DL-v3,MergeSat 4.0-rc-rc3,SLIME SC-2022,SLIME SC-2022-alpha,SLIME SC-2022-beta,SLIME SC-2022-gamma,SeqFROST-ERE-All,SeqFROST-NoExtend,cadical-hack-gb,cadical_rel_Scavel,ekissat-mab-db-v1,ekissat-mab-db-v2,ekissat-mab-gb-db,glucose-reboot,hCaD_V1-psids,hCaD_V2,hKis-psids,hKis-sat,hKis-unsat,kissat-els-v1,kissat-els-v2,kissat-els-v3,kissat-els-v4,kissat-mab-gb,kissat-sc2022-bulky,kissat-sc2022-hyper,kissat-sc2022-light,kissat-watchsat-lto,kissat_inc,kissat_pre,kissat_relaxed
d1dbf88a58406c931fd696267ed8159e,s2n:s2n_stuffer_private_key_from_pem.cnf.xz,unsat,unsat,144.558,238.068,212.436,161.451,195.837,10000.0,2591.52,87.3624,92.8615,89.9654,89.6917,662.799,137.129,163.547,511.754,451.86,546.505,487.547,462.305,389.369,415.971,481.147,492.609,456.795,522.222,219.331,267.521,154.495,205.821,84.5345,110.474,98.5165,358.016,251.418,155.518,102.769,109.785,92.8803,1752.97,1393.27,902.664,1763.98,101.938,267.819,250.81,266.67,975.841,95.4746,73.0055,117.547
d1f5c3af78f13f39595288976115d7d3,3d_perfect_euler_bricks.cnf.xz,unknown,unknown,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
d21199e73859ca35386912c5c475d6c7,tseitin_n192_d3.cnf.xz,unknown,unsat,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
d32a1553afeebf44835370c9567b3598,cfi-rigid-t2-0048-01-or_3_shuffle_all.cnf.xz,sat,sat,377.439,48.6178,49.1135,657.967,171.255,51.428,192.145,107.581,391.114,390.438,390.644,109.047,12.8417,125.154,1204.65,61.935,1156.81,1188.04,1108.69,1204.83,1569.87,1353.3,1276.53,1204.99,1158.82,312.941,311.483,27.9248,174.844,48.806,297.711,106.543,1224.13,33.147,365.646,103.168,152.111,14.9427,114.03,161.081,43.8917,55.6151,38.2824,50.5327,74.3801,30.1815,53.1342,66.3486,36.7711,1310.89
d3c07914f3ebb42906b986aa431243af,summle_X8646_steps8_I1-2-2-4-4-8-25-100.cnf.xz,sat,sat,131.17,47.8426,48.6177,32.5425,13.3354,273.834,66.847,16.8184,25.6696,27.3231,27.292,42.2383,37.0058,59.5965,50.7751,82.4247,35.0101,17.5065,43.6415,71.1226,30.796,78.2934,22.7373,11.0161,17.8948,68.8027,87.3047,35.8854,42.4803,63.5315,43.4127,25.1598,15.0009,57.2086,18.7642,213.605,76.7511,50.1329,47.4929,42.6324,72.7542,41.7757,22.7024,59.9684,39.8181,21.7682,25.5508,66.0962,15.8594,36.7087
d3c22bb79a638adc35682226f35e3bc4,pj2003_k9.cnf.xz,unsat,unsat,847.024,893.743,922.03,800.777,2523.05,10000.0,1166.15,1231.19,1110.02,1177.57,1203.25,1093.1,2795.91,795.222,2261.8,3310.71,10000.0,2431.88,2183.92,1371.23,2379.43,2541.31,2511.5,2656.26,2772.82,1123.18,1135.54,909.318,946.539,1253.06,1251.53,1227.69,4269.06,1180.34,792.346,1044.22,2587.87,1140.55,1140.63,989.795,1047.89,1079.82,1247.82,852.239,843.576,1026.65,998.468,1243.2,1390.22,2348.55
d40af7b45bba9c64033c0dd47b07f4a4,mdp-36-16-sat.cnf.xz,unknown,sat,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
d518d21a9d851741940749cb59f558af,rphp_p6_r28.cnf.xz,unsat,unsat,2821.32,10000.0,10000.0,4896.9,3759.96,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,2950.32,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,3433.66,3278.23,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
d60f78323b957025e55ca528d641b83b,SC22_Timetable_C_451_E_48_Cl_30_S_27.cnf.xz,sat,sat,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,295.436,491.759,377.763,276.298,10000.0,10000.0,10000.0,617.029,664.884,376.662,384.647,367.526,353.629,541.436,323.192,4018.32,10000.0,10000.0,306.813,268.468,10000.0,10000.0,551.299,421.633,392.784,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,381.645,10000.0,10000.0,10000.0,10000.0,271.385,126.45,10000.0
d6947217ad779e1175c716cca42525c6,summle_X111113_steps7_I1-2-2-4-4-8-25-100.cnf.xz,sat,sat,707.539,939.414,65.6291,571.807,590.77,2434.67,27.6612,1330.2,849.326,404.228,1308.73,269.898,391.303,1753.77,121.773,70.1316,722.323,140.415,124.162,197.858,281.71,251.714,119.925,159.582,507.555,616.363,820.14,938.896,1011.48,388.747,1345.27,602.616,24.8605,150.843,951.119,414.2,579.297,512.474,663.937,357.356,67.5956,263.117,92.7701,735.066,136.974,1213.35,99.7362,431.113,987.522,757.962
d6c845a5f92ebc059b3f0ab2f6d395ed,cfi-rigid-z2-0088-02-or_2_shuffle_all.cnf.xz,unsat,unsat,1258.24,774.424,1196.62,1695.35,1222.65,304.077,820.16,641.667,480.877,479.229,482.829,633.681,469.795,1176.2,932.574,761.378,964.892,814.845,864.902,866.628,1285.54,903.731,863.833,858.574,842.116,2356.08,2381.63,1282.17,1496.74,470.676,558.243,565.297,947.26,531.028,762.371,394.601,348.237,310.838,599.226,542.485,1568.01,1006.29,364.011,594.915,471.256,543.774,579.634,366.745,556.371,1402.27
d702aa8568706efda8308ef8d24f907b,div-mitern167.cnf.xz,unsat,unsat,1533.68,1782.49,1663.37,1680.44,1734.04,10000.0,1187.53,762.431,789.96,769.898,940.852,978.517,2102.21,1476.46,3088.27,1952.09,3698.42,2901.78,3045.63,1784.15,4649.87,2467.34,2675.62,3178.21,2914.22,829.675,801.75,1719.02,2036.2,955.496,831.832,777.358,3182.97,1878.56,1484.58,746.236,2175.7,694.194,2683.52,849.272,849.4,1167.09,831.591,902.243,923.007,1042.04,1214.24,815.07,799.665,1760.03
d7039acbd2f060fe1e32a273b07c2c77,sudoku-N30-29.cnf.xz,unsat,unsat,3714.05,3731.68,3635.53,3875.64,4431.65,10000.0,4551.1,2693.37,3021.6,2672.09,2798.07,10000.0,10000.0,3676.87,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,4067.78,4242.68,3889.35,3492.53,2810.66,2999.55,3123.92,10000.0,4660.18,4688.72,2529.8,10000.0,2094.39,4960.71,10000.0,10000.0,10000.0,3079.47,4859.28,4371.9,10000.0,10000.0,2995.62,2729.12,10000.0
d78819115db81dee343d7777fbc5844f,cfi-rigid-s2-0064-02-or_2.cnf.xz,unsat,unsat,2048.51,1753.01,2362.99,1329.77,1582.54,124.903,455.872,349.93,332.667,335.557,334.35,474.81,548.025,1337.6,624.949,1032.45,651.857,678.368,699.362,694.905,635.936,662.063,653.187,588.79,575.485,689.576,685.004,1856.54,1809.55,333.887,216.525,206.655,787.532,545.97,828.954,349.917,572.808,158.489,547.621,551.023,1437.19,1125.14,312.991,486.428,464.246,402.038,520.66,168.211,175.669,1384.42
d79e09d2a1639a01528c0703df4d4946,pj2008_k400.cnf.xz,unknown,unknown,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
d7f273dc6e97efe55c8b7f9cc547eb2d,sin_depth_miter_1.cnf.xz,unknown,unknown,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
d8602e623f87dd33f4a1a69ee42d15be,reconf20_50_grid10_3_6844.cnf.xz,unsat,unsat,10000.0,1339.94,583.051,10000.0,762.98,4212.26,247.325,615.656,1663.45,946.362,623.013,312.237,797.772,523.305,2431.57,866.79,1056.77,3845.26,10000.0,544.19,10000.0,716.111,1144.47,1057.85,934.774,319.845,343.806,10000.0,10000.0,10000.0,1147.43,10000.0,883.102,906.945,1050.11,413.834,863.538,409.597,306.372,451.733,2446.29,300.504,1156.46,1720.78,679.812,10000.0,286.033,339.797,10000.0,614.139
d87714e099c66f0034fb95727fa47ccc,Wallace_Bits_Fast_2.cnf.cnf.xz,sat,sat,1.14809,2.06279,2.04283,5.37815,1.94656,32.0237,3.27665,8.85459,4.81966,4.85311,4.85335,19.9565,0.410795,3.31051,84.9973,4.12316,24.2703,138.294,158.841,54.8612,2.81604,136.388,13.5644,57.2288,40.6119,5.15221,1.37766,1.60575,3.35997,0.567225,4.3339,2.85897,0.073439,16.3292,0.824792,0.549575,3.87446,3.74724,3.59256,4.38324,4.12558,13.881,10.9781,2.20632,1.40594,8.12569,6.31502,1.13694,4.87557,4.98905
d892eb7b3b3a44192ee639e222eee058,reconf10_99_Ins_3_1.cnf.xz,sat,sat,490.669,735.027,186.073,1580.26,70.9261,10000.0,671.023,997.068,1832.97,533.707,523.084,1285.62,2656.58,465.976,648.55,552.386,4036.44,1192.8,10000.0,10000.0,2071.3,3262.16,99.6556,2414.91,1634.99,556.288,443.747,1377.29,1720.8,664.738,4720.65,258.885,849.058,1403.8,2495.77,3611.64,506.587,1667.65,350.785,1079.96,629.653,1014.44,2423.06,332.228,1005.46,790.654,519.618,9.3827,996.302,1465.97
d8bb23406e76bf5a4b7a6edba8784a74,Lab-Project-FreeRTOS-Cellular-Library:Cellular_ATRemoveTrailingWhiteSpaces.cnf.xz,unsat,unsat,738.912,678.14,625.179,803.327,665.294,762.938,2230.09,764.855,867.704,1081.08,1064.78,1803.71,760.88,907.067,695.88,3210.94,810.432,758.868,822.0,1442.76,1062.26,2070.24,1353.65,994.678,972.33,432.163,468.516,786.369,715.243,980.558,675.726,830.346,889.951,473.74,596.401,585.336,569.774,742.066,2458.6,1910.26,2550.8,2024.02,863.639,1645.01,1548.31,866.258,1667.66,1046.83,992.238,1043.32
d90c519010bfda89d1626c0321a55a64,j3045_10_gmto_bm1.cnf.xz,unknown,unsat,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
d9e9100c382d44fb67af82f8d69814f1,cfi-rigid-t2-0048-03-or_3_shuffle_all.cnf.xz,sat,sat,300.061,338.535,161.41,105.098,289.297,16.139,240.246,40.3537,65.6837,65.4157,65.3865,85.4201,28.1372,222.237,1278.95,16.6844,1146.29,1096.56,1136.94,1204.91,1597.22,1205.34,1271.35,1359.91,1194.07,333.906,336.648,50.3643,391.502,414.428,64.6058,43.1659,1122.17,255.517,552.173,16.7218,129.167,54.8673,34.9812,254.3,70.5501,39.3098,30.7126,120.357,217.085,25.0325,14.3975,58.4864,104.612,1077.44
dcac26e190c906c61ac7222d6d4628c7,grid-color-14-14-12-cb.cnf.xz,sat,sat,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,4274.48,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,442.141,442.665,762.012,770.14,3132.76,565.372,10000.0,1310.0,10000.0,10000.0,10000.0,10000.0,4531.9,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,4343.28,10000.0,2882.24,10000.0
dd0196aee30d0a83b6fe8bc7eba01806,aws-encryption-sdk-c:aws_cryptosdk_priv_hdr_parse_iv.cnf.xz,unsat,unsat,442.832,542.533,514.484,749.63,474.543,3901.97,629.21,645.65,507.914,628.233,627.47,1641.55,972.149,456.507,459.686,10000.0,386.38,410.364,371.603,528.49,1391.26,742.819,875.859,423.704,407.4,1321.33,942.703,431.151,491.88,596.475,496.754,550.794,308.124,583.853,709.425,532.411,446.63,438.47,1039.52,1899.9,977.841,965.275,590.795,534.404,584.498,429.551,1469.85,619.421,540.354,647.728
ddc7ca4c5dcb102a3ecc63721498f746,SC22_Timetable_C_436_E_39_Cl_29_S_27.cnf.xz,unknown,unknown,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
ddcb0cd9b7bca43c3a5189326ae88aab,linked_list_swap_contents_safety_unwind71.cnf.xz,unsat,unsat,1188.5,502.849,503.71,466.548,476.132,121.634,308.806,983.44,245.31,244.793,244.801,1389.73,868.71,1238.3,10000.0,10000.0,1280.32,889.705,688.746,1729.69,1605.01,2232.28,2120.88,1595.98,1826.17,141.219,138.64,2678.36,488.984,292.131,825.52,870.827,754.053,666.282,786.415,112.938,67.1527,934.522,1367.4,1670.06,1317.17,1809.12,217.177,658.61,1110.3,1238.73,640.982,824.468,1416.7,129.376
e011c703e4a2ff46069ec2af2997b580,sin_depth_miter_6.cnf.xz,unsat,unsat,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,4626.35,10000.0,4875.98,10000.0,3718.94,4607.0,4322.67,10000.0,10000.0,10000.0,10000.0
e01c39b7b41c9ff1621579b747254fab,ncc_none_3001_7_3_3_1_31_435991723.cnf.xz,sat,sat,863.338,1299.08,1303.53,703.828,834.053,4548.46,119.349,282.107,245.544,229.407,229.351,111.694,2279.97,1372.64,360.318,2317.97,1108.96,1068.3,1116.28,932.104,838.708,3055.0,1658.07,1546.69,1261.03,10000.0,10000.0,920.821,1320.69,247.493,299.481,197.852,3091.68,1487.22,1058.24,388.651,466.726,180.226,106.598,115.838,198.241,123.345,248.977,115.479,224.189,194.885,119.14,669.698,322.085,200.411
e02e21075d3bb8b0e64ea9b8122c75ff,PancakeVsInsertSort_6_7.cnf.xz,unsat,unsat,120.326,130.566,149.993,121.603,118.636,513.199,127.257,107.055,105.008,104.689,116.811,119.84,180.028,113.725,432.957,207.017,531.116,347.246,477.619,326.87,510.346,388.189,404.519,330.403,396.187,93.6314,100.946,121.964,178.967,118.048,121.479,117.481,120.078,119.187,102.532,69.8909,183.574,116.902,104.704,98.0049,108.917,105.973,146.663,127.276,96.0315,103.618,127.762,140.5,130.326,173.673
