hash,benchmark,verified-result,claimed-result,dps,gimsatul,mallob-ki,mergesat-aws,pakismab22,pmcomsps
986b4c49191166887b75f95c0cd8f8a4,instance_n4_i5_pp.cnf,unsat,unsat,4.601,3.77,0.968,0.381,2.407,5.388
986fa07aad63a9be45360bdf9c8b0e0e,SGI_30_60_24_40_2-log.shuffled-as.sat03-119.cnf,unsat,unsat,1521.088,10000.0,151.383,10000.0,10000.0,10000.0
98797d187fa732a0226062c20f5c001b,hard-15-U-8013.cnf,unsat,unsat,21.524,162.833,11.293,146.906,25.186,734.214
988603bd72158a0c8491d29b7c62c04e,instance_n2_i3_pp.cnf,unsat,unsat,0.463,0.222,0.67,0.039,2.543,3.865
98a646658d805c2e309e452d9acc307c,rnd-v25-e39-k6.cnf,unsat,unsat,2560.353,1868.513,178.911,340.667,1797.862,813.427
98c53818f998d1f88af51bc721cc936c,aaai10-planning-ipc5-pathways-13-step17.cnf,unsat,unsat,697.692,316.777,68.54,227.073,612.492,119.768
98c53d2e6e9cbf4a78a258adc529770a,DLTM_twitter304_77_11.cnf,unsat,unsat,880.039,909.918,3255.523,956.58,10000.0,1992.788
991d3b46599bb896d72569536d2b54fc,pbl-00400.shuffled-as.sat05-1332.shuffled-as.sat05-1332.cnf,unsat,unsat,23.888,140.405,1.886,1.44,41.084,12.832
994f336832f84532ac98a1cd48a1ae9b,dspam_dump_vc950.cnf,unsat,unsat,18.722,36.729,2.671,0.308,8.027,5.992
99718c1729a8de3347a9946f1836421d,bivium-39-200-0s0-0xdcfb6ab71951500b8e460045bd45afee15c87e08b0072eb174-43.cnf,unsat,unsat,3382.716,10000.0,2688.067,10000.0,2210.502,1055.766
9979fa03c0b34069ace43042431306a0,bevhcube6.shuffled-as.sat03-1428.cnf,unknown,unsat,10000.0,10000.0,0.746,10000.0,10000.0,3.181
999720ee9bcba971225dffd896497aa2,Pappus-k7.cnf,unsat,unsat,2734.871,10000.0,570.854,1003.756,10000.0,10000.0
99d81725dcbb49eefb7b78d03dc595c3,hsat_vc12016.cnf,unsat,unsat,13.735,4.443,1.37,0.508,17.7,30.466
99de0fc343edca989e6117edd423a593,rand_net60-25-5.shuffled.cnf,unsat,unsat,20.354,4.216,0.769,1.318,26.542,10.141
99e0a9b26bd19223b7cc7d60ee179565,gensys-ukn002.sat05-2744.reshuffled-07.cnf,unsat,unsat,52.79,38.319,7.756,15.599,59.435,13.929
9a0545f21d2cb618bf050a877ad7c791,fdmus_b20_492.cnf,unsat,unsat,7.769,1.511,0.668,0.534,7.185,6.797
9a2659ce4b18ec2ac0ba0d4df9777bfd,Schur_161_5_d36.cnf,unknown,unsat,10000.0,10000.0,4505.45,10000.0,10000.0,10000.0
9a296539e33398c9ae36663371a63b39,randomG-Mix-n17-d05.cnf,unsat,unsat,10000.0,10000.0,266.975,4389.103,10000.0,10000.0
9a373a1987cff0d7de096e0f81f3cc87,SGI_30_70_22_70_7-log.shuffled-as.sat03-155.cnf,unknown,unsat,10000.0,10000.0,2645.487,10000.0,10000.0,10000.0
9a38c14a348875d8ffa7946193c0b10c,SAT_dat.k20.cnf,unsat,unsat,414.339,1226.384,34.906,42.014,417.393,275.345
9a3dc28388d200a25acb2b80567034bb,crafted_n12_d6_c3_num21.cnf,unsat,unsat,298.282,833.002,139.9,2075.6,10000.0,10000.0
9a839badecb20dcf505ec79eedd3753a,anbul-dated-5-15-u.cnf,unsat,unsat,141.795,66.323,18.984,225.145,875.325,10000.0
9a8546564631081cdfd3ead12990c266,Urquhart-s3-b8.shuffled.cnf,unsat,unsat,53.865,13.235,0.969,5.577,6.254,10000.0
