hash,benchmark,verified-result,claimed-result,BreakID-kissat-noProofLogging.sh,BreakID-kissat-withUNSATCertificates-withProofLogging.sh,CaDiCaL-watchsat-lto,CaDiCaL_DVDL_V1,CaDiCaL_DVDL_V2,CadicalReorder,Cadical_ESA,IsaSAT,Kissat-MAB-rephasing,Kissat_MAB-HyWalk,Kissat_MAB_ESA,Kissat_MAB_MOSS,Kissat_MAB_UCB,Kissat_adaptive_restart,Kissat_cfexp,LSTech_CaDiCaL,LSTech_Maple,LSTech_kissat,LStech-Maple-BandSAT,LStech-Maple-FPS,LStech-Maple-HyWalk,MapleLCMDistChrBt-DL-v3,MergeSat 4.0-rc-rc3,SLIME SC-2022,SLIME SC-2022-alpha,SLIME SC-2022-beta,SLIME SC-2022-gamma,SeqFROST-ERE-All,SeqFROST-NoExtend,cadical-hack-gb,cadical_rel_Scavel,ekissat-mab-db-v1,ekissat-mab-db-v2,ekissat-mab-gb-db,glucose-reboot,hCaD_V1-psids,hCaD_V2,hKis-psids,hKis-sat,hKis-unsat,kissat-els-v1,kissat-els-v2,kissat-els-v3,kissat-els-v4,kissat-mab-gb,kissat-sc2022-bulky,kissat-sc2022-hyper,kissat-sc2022-light,kissat-watchsat-lto,kissat_inc,kissat_pre,kissat_relaxed
7e9318578a6bdd7dfa9fc261be8a0839,PancakeVsSelectionSort_7_7.cnf.xz,unsat,unsat,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,3490.84,3533.43,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,4925.11,4723.03,10000.0,10000.0,10000.0,4228.63,10000.0,10000.0,10000.0,10000.0,10000.0
7edaa759315f3762eee756c5bb843599,SC22_Timetable_C_436_E_42_Cl_29_S_27.cnf.xz,unknown,unknown,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
7f09f477d319cd79821c80504aa06a6e,Break_16_56.xml.cnf.xz,sat,sat,130.777,935.331,450.833,505.192,361.064,85.5273,69.2878,10000.0,47.1032,146.43,271.911,187.295,195.434,125.492,448.107,117.155,229.904,204.551,374.94,367.806,617.746,1305.77,1728.02,948.43,4715.09,1861.84,1775.34,306.949,300.942,517.635,256.532,351.565,268.717,123.799,10000.0,3081.55,1467.9,10000.0,2740.47,348.925,106.395,42.1874,195.081,38.9299,191.115,351.482,81.3132,309.182,101.252,45.9362,254.209,219.559
7f4d55b70c61ffc611a58e01d52c19bb,SCPC-500-11.cnf.xz,unsat,unsat,392.488,409.201,182.291,222.378,230.505,242.442,210.845,2008.48,259.292,466.641,474.676,474.487,472.405,232.184,363.882,204.691,342.566,548.471,261.658,258.117,281.437,183.185,641.823,348.32,315.76,281.186,275.348,458.898,482.975,192.105,231.531,396.137,465.318,405.969,431.347,272.541,182.227,600.8,446.901,410.643,198.562,212.787,267.293,256.902,454.343,181.155,168.211,221.39,255.076,454.092,443.06,435.556
7fe153ced2c966dcdeb42b6714b4d6b7,sudoku-N30-11.cnf.xz,unsat,unsat,2243.17,2363.4,3686.93,3652.83,3180.55,3772.65,10000.0,10000.0,4457.65,2614.44,2632.13,2496.83,2555.34,4683.47,10000.0,4168.33,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,4534.71,3658.7,3637.54,3755.56,2884.54,2611.4,3014.29,10000.0,4251.93,4175.55,2757.07,10000.0,1982.01,4525.29,10000.0,4760.31,10000.0,2652.22,4017.48,10000.0,4625.07,10000.0,2526.9,2986.09,10000.0
7ff8c9781b3ada449ce489cdf444a760,Break_unsat_10_15.xml.cnf.xz,unknown,unsat,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
80023e9fd0e627f71c2d953432613b5f,hyp_cec_multi_4.cnf.xz,unknown,unknown,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
807133f4461a11e39a390dfcf67a4fc6,summle_X11113_steps8_I1-2-2-4-4-8-25-100.cnf.xz,sat,sat,1999.58,2272.82,57.1315,58.4226,60.2786,128.865,101.479,469.617,70.4413,43.2452,301.486,112.832,101.862,222.803,119.493,135.213,49.6713,120.795,104.827,116.173,18.71,67.7488,39.1326,48.6731,253.53,29.4513,35.5737,102.334,43.6721,16.3381,43.4378,63.9865,134.993,24.6589,25.0414,184.8,146.262,262.095,57.2467,29.6918,72.4306,40.861,25.6573,101.402,196.125,66.1284,215.489,42.2111,69.5969,37.763,44.9412,84.2917
81e73c41a76d7b432cf86c43ffe23986,PancakeVsInsertSort_8_6.cnf.xz,unsat,unsat,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,4264.38,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,4102.26,10000.0,10000.0,10000.0,4150.39,4276.9,3904.05,10000.0,3975.98,4160.56,4439.17,10000.0,10000.0,10000.0,10000.0
85aa1f0820da17412b8ee803b4a85207,sudoku-N30-4.cnf.xz,unsat,unsat,2800.64,2992.45,3973.28,3886.15,3833.55,4162.07,10000.0,10000.0,10000.0,3330.94,3391.8,3269.6,3227.69,10000.0,10000.0,3980.48,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,4420.06,4564.21,3867.28,4339.66,3313.01,3198.04,4043.99,10000.0,4551.69,4413.43,3059.75,10000.0,3238.38,10000.0,10000.0,10000.0,10000.0,3360.57,10000.0,10000.0,10000.0,10000.0,3275.3,3726.65,10000.0
