hash,benchmark,verified-result,claimed-result,CaDiCaL_DVDL_V1,CaDiCaL_DVDL_V2,CadicalReorder,Cadical_ESA,IsaSAT,Kissat_MAB-HyWalk,Kissat_MAB_ESA,Kissat_MAB_MOSS,Kissat_MAB_UCB,Kissat_adaptive_restart,LSTech_Maple,LStech-Maple-HyWalk,MapleLCMDistChrBt-DL-v3,SLIME SC-2022,SLIME SC-2022-beta,SeqFROST-NoExtend,cadical_rel_Scavel,ekissat-mab-db-v1,ekissat-mab-gb-db,glucose-reboot,hCaD_V1-psids,hKis-unsat,kissat-els-v1,kissat-els-v2,kissat-sc2022-bulky,kissat-sc2022-light,kissat_inc,kissat_relaxed
d8ff2ae89a1eba302075e4d8fb10830c,mrpp_8x8#24_20.cnf.xz,sat,sat,85.9416,74.476,289.078,308.535,10000.0,87.9184,69.1414,88.1992,87.3909,57.7042,49.489,68.0146,112.922,85.973,71.6351,63.9103,77.4385,67.9978,52.4278,238.284,325.689,37.4686,124.053,86.3614,81.5194,53.4293,90.955,79.3029
d8ff43027de4a0d0af96a8db9722bd5b,Schur_160_5_d42.cnf.xz,sat,sat,27.6803,34.9264,183.626,307.24,30.3329,5.06548,4.99029,5.00744,5.0233,50.6012,102.602,68.2321,44.0074,235.391,66.5104,191.086,244.357,138.91,93.3531,37.7261,252.699,168.558,58.1511,10.0624,79.7478,1.36326,45.218,129.762
d8ffbd52a1956e5ab894a08c30d11924,Mat27.shuffled.cnf.xz,sat,sat,0.221569,0.21993,0.443864,0.197476,3.01196,0.202704,0.239546,0.196311,0.196643,0.407224,3.09893,1.93396,3.82426,13.0146,0.761911,0.190869,15.3731,0.223566,0.203163,0.03597,0.193351,0.315429,0.33143,0.21654,0.665397,0.381654,0.450795,0.29139
d9406a5b26acf42dad42a4bb0a56e24b,new-difficult-22-173-20-80.cnf.xz,sat,sat,0.012858,0.012717,0.014189,0.012484,45.4831,9.42786,9.33507,9.33684,9.33934,0.040713,5.97775,119.439,34.2744,44.7896,63.8957,7.24352,28.1775,0.335033,0.334732,7.1665,0.012505,26.5406,0.039441,0.039632,0.028628,79.4801,47.4123,28.3395
d95c2aa334c098b0a41e0f96ab15cd1d,preimage_80r_491m_160h_seed_407.cnf.xz,sat,sat,4633.94,10000.0,10000.0,10000.0,10000.0,1811.58,10000.0,10000.0,1864.13,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,2834.02,1177.91,10000.0,10000.0,3449.99,3713.97,10000.0,10000.0,10000.0,3813.74
d96b51b728856b588991af6bb20bdde1,baseballcover12with23_and2positions.cnf.xz,sat,sat,287.985,246.657,371.635,459.661,10000.0,147.392,150.212,144.713,127.902,274.599,124.465,127.199,1509.4,687.807,619.265,483.528,225.298,155.716,142.264,1518.26,268.608,363.791,265.248,287.573,214.423,1159.6,182.213,144.419
d9767a6ac2e1bfa8d3b28ec4bcf02d38,snw_13_9_CCSpre.cnf.xz,sat,sat,19.66,19.5492,36.5605,111.321,66.2075,17.8585,19.8481,17.5604,17.7179,43.6912,16.2044,39.9078,25.0665,40.7031,9.73779,33.5595,26.2626,8.8025,9.10956,11.7656,78.7943,36.2289,12.6519,35.2069,44.7992,21.3125,10.2266,3.72702
d9c3391cbc4e2d6f4ad5cd6a59b1fb3a,connm-ue-csp-sat-n600-d0.00-s1227021255.used-as.sat04-939.cnf.xz,sat,sat,3.10177,3.07508,5.73204,3.14366,3.14381,0.91778,1.47236,6.49826,6.45122,3.38055,11.0718,1.34759,10.0044,8.44165,1.25949,12.3143,19.1883,1.90855,1.53307,2.61147,2.72752,11.4449,1.40333,1.76456,5.62261,0.942162,0.366199,5.06663
da1c4b80744ff527a61cafd64d069897,fphp-010-010.shuffled-as.sat05-1199.cnf.xz,sat,sat,0.004616,0.00454,0.005816,0.00466,0.003396,0.004433,0.003516,0.00355,0.003483,0.004252,0.006186,0.00494,0.005504,0.005284,0.005462,0.006309,0.004979,0.003808,0.003917,0.004895,0.004648,0.003439,0.003319,0.003515,0.00358,0.003425,0.003482,0.004176
da72fa2e7bc48f9c0288b31db6c3f2e4,Problem14_label14_false-unreach-call.c.cnf.xz,sat,sat,163.463,162.49,93.6251,140.304,776.029,188.213,199.786,201.736,200.679,10000.0,484.143,439.578,121.85,205.375,181.541,70.4069,142.191,154.703,180.539,98.7906,118.654,155.01,10000.0,10000.0,389.712,217.682,203.182,213.732
