hash,benchmark,verified-result,claimed-result,CaDiCaL-watchsat-lto,CaDiCaL_DVDL_V1,CaDiCaL_DVDL_V2,CadicalReorder,Cadical_ESA,IsaSAT,Kissat-MAB-rephasing,Kissat_MAB-HyWalk,Kissat_MAB_ESA,Kissat_MAB_MOSS,Kissat_MAB_UCB,Kissat_adaptive_restart,Kissat_cfexp,LSTech_CaDiCaL,LSTech_Maple,LSTech_kissat,LStech-Maple-BandSAT,LStech-Maple-FPS,LStech-Maple-HyWalk,MapleLCMDistChrBt-DL-v3,MergeSat 4.0-rc-rc3,SLIME SC-2022,SLIME SC-2022-alpha,SLIME SC-2022-beta,SLIME SC-2022-gamma,SeqFROST-ERE-All,SeqFROST-NoExtend,cadical-hack-gb,cadical_rel_Scavel,ekissat-mab-db-v1,ekissat-mab-db-v2,ekissat-mab-gb-db,glucose-reboot,hCaD_V1-psids,hCaD_V2,hKis-psids,hKis-sat,hKis-unsat,kissat-els-v1,kissat-els-v2,kissat-els-v3,kissat-els-v4,kissat-mab-gb,kissat-sc2022-bulky,kissat-sc2022-hyper,kissat-sc2022-light,kissat-watchsat-lto,kissat_inc,kissat_pre,kissat_relaxed
2c0379771c5313567ea9e230438f203f,reconf20_320_hc-square-2_1.cnf.xz,unsat,unsat,551.396,1015.24,809.569,592.371,610.832,528.737,1193.93,271.77,265.86,276.233,275.25,1438.49,288.714,584.588,339.311,2984.71,422.83,323.685,405.677,330.266,313.483,519.083,312.352,326.96,330.378,281.069,270.648,542.279,639.834,290.202,264.446,266.887,173.466,461.568,566.156,260.246,231.837,251.343,1272.1,991.76,1174.7,1319.35,287.001,621.664,465.465,353.029,1187.73,281.576,329.794,249.828
2c7cb0ff324a42a0699c23317c97a29a,6s320rb1_Iter8.cnf.xz,unsat,unsat,421.105,457.255,481.97,454.608,556.992,10000.0,398.543,555.18,534.854,564.245,527.672,362.878,1014.96,465.227,939.946,1151.61,780.576,774.786,860.534,621.51,769.146,726.381,682.045,689.721,617.89,608.9,552.648,460.851,452.212,544.152,578.412,505.635,948.523,435.196,350.514,487.47,960.348,499.412,554.882,401.432,401.424,402.049,571.473,370.074,385.778,418.148,435.126,532.562,550.257,908.331
2f9cb22859718ab6c201726a91cfefe1,aws-encryption-sdk-c:aws_cryptosdk_priv_try_gen_key.cnf.xz,unsat,unsat,1339.43,1454.13,1467.91,1142.08,1273.47,3683.37,1474.15,855.667,822.434,825.264,823.347,1883.83,1685.78,1590.58,10000.0,10000.0,2038.82,2162.29,2337.06,2243.57,2365.51,2282.1,2263.61,2068.23,2216.14,1544.55,1573.4,1229.61,1201.07,968.006,1116.81,961.838,1922.03,1323.83,1583.95,1060.18,819.385,900.905,1472.79,1402.68,1461.92,1449.61,1077.21,1703.54,1362.91,1327.25,4785.05,870.159,1158.91,1983.21
3159a02d096424aab6295c76360633a9,SCPC-500-10.cnf.xz,unsat,unsat,56.8877,65.828,64.0778,60.4492,53.667,348.517,53.4063,121.224,119.5,138.562,121.242,57.8231,143.042,59.0509,139.443,169.589,134.738,135.667,128.033,95.2471,206.625,153.91,151.009,150.469,139.169,119.47,122.476,55.2121,81.8076,140.375,125.168,115.401,148.689,94.2754,49.8263,133.981,106.353,99.0486,101.882,56.0261,81.0924,55.0289,135.771,51.9564,53.2623,61.4216,61.0932,143.215,142.297,123.177
351746fa3de2464c903c85e726cfed55,linked_list_swap_contents_safety_unwind67.cnf.xz,unsat,unsat,629.855,1409.92,1389.68,4332.54,2078.94,90.7551,561.506,189.145,427.37,791.587,792.682,427.925,143.161,2820.91,10000.0,10000.0,1169.97,1296.46,1449.11,1887.38,2229.5,1904.87,1745.26,1369.11,1261.21,151.676,243.318,502.948,2287.89,945.787,615.609,1163.56,627.84,561.74,601.4,218.536,60.7471,1242.84,1743.56,435.052,1774.33,1450.66,820.658,1314.63,1466.51,445.624,1428.52,2218.85,1170.72,73.9236
354c2088ae7648e1dc51d12947c8043a,bobsmdct_init_k88.cnf.xz,unsat,unsat,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,1700.17,1320.7,1290.6,1245.12,1273.78,1680.09,1467.41,10000.0,10000.0,3075.63,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,1093.23,1081.92,10000.0,10000.0,1814.08,1869.02,1608.87,10000.0,10000.0,10000.0,1089.3,10000.0,1367.68,2378.15,2111.86,2182.67,2043.41,1960.99,1480.66,1434.77,1436.47,2311.85,10000.0,1561.57,10000.0
35ad744923721e37a2f58443179c31a8,coreMQTT:MQTT_SerializeConnect.cnf.xz,unsat,unsat,1116.23,1017.08,951.856,1019.1,880.023,10000.0,1362.66,1304.0,1063.66,1484.62,1522.48,1117.04,2018.61,1107.15,10000.0,3688.86,10000.0,4521.49,10000.0,2312.45,4961.82,3356.3,3344.64,3325.09,3339.74,3950.72,3841.13,1199.91,1210.41,718.027,1440.23,791.996,3507.63,1210.6,1190.49,1122.89,3042.25,1402.8,1573.31,1497.44,1334.74,1359.72,651.418,1744.69,1623.37,1202.46,1550.7,1530.73,1390.84,2052.0
3666617901c8500d78700dac959729d4,pj2002_k9.cnf.xz,unsat,unsat,784.16,863.606,838.913,814.509,2262.93,10000.0,1074.25,1234.85,1173.28,1230.78,1232.94,1074.13,3285.09,801.16,2376.75,3191.54,10000.0,2396.78,2545.56,1180.84,2596.61,2444.34,2523.56,2489.26,2443.67,1150.95,1062.57,833.987,786.661,1267.06,1240.46,1244.56,4316.66,1325.43,884.368,1123.86,2843.53,1195.32,1108.02,1014.55,1127.63,1129.82,1264.45,1034.92,878.485,1112.93,1179.52,1278.85,1259.9,2435.79
372021735d9e46002b862aa2a038a818,j3045_4_rggt_bm1.cnf.xz,unsat,unsat,613.168,679.12,678.145,566.276,603.754,10000.0,813.176,781.363,754.668,740.497,745.553,845.1,691.004,591.168,889.373,943.921,931.086,889.756,910.767,641.569,1055.55,693.486,729.185,856.502,906.655,1033.78,959.391,672.046,688.596,808.253,803.116,753.802,682.095,753.047,560.5,654.428,721.017,626.701,920.936,675.82,764.449,781.558,809.026,640.817,753.913,798.41,843.63,788.783,735.298,753.067
3cbd82017c4a304c014dd87a69f6028c,bmc_QICE_req_sfl_30.cnf.xz,unsat,unsat,10000.0,4357.46,4832.39,4942.62,10000.0,10000.0,10000.0,10000.0,4430.29,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,4976.4,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,3156.69,10000.0
