hash,benchmark,verified-result,claimed-result,mallob-kicaliglu,paracooba
3fb045f58aaf394165735c39c49fad92,linked_list_swap_contents_safety_unwind56.cnf,unsat,unsat,40.532,419.047
3ff263696219ca9e301b0a1b345eb9aa,SCPC-500-4.cnf,unsat,unsat,4.512,119.279
41423c03ef173a5b81d6e6776f316fa5,PancakeVsInsertSort_7_8.cnf,unsat,unsat,33.539,2000.0
4348c6b9af237291558b154a9de82969,aws-encryption-sdk-c:aws_cryptosdk_priv_hdr_parse_aad.cnf,unsat,unsat,144.807,2000.0
43687a48fb119ca61b47c2fc69a71e7d,manthey_single-ordered-initialized-w42-b8.cnf,unsat,unsat,7.519,181.544
436d00b6d41912e800e9855d08c75139,manol-pipe-f7nidw.cnf,unsat,unsat,14.317,31.729
4408f3ebfc37275a23ef57cfcc8aba6d,aws-encryption-sdk-c:aws_cryptosdk_priv_hdr_parse_content_type.cnf,unsat,unsat,38.423,281.989
4513c58c16e72a34f9f8518db7baeb9e,ktf_TF-3.tf_3_0.02_24.cnf,unsat,unsat,17.528,249.261
45ec40c74fdbf2fe41122ac1e31e6c8e,worker_30_120_30_0.8.cnf,unknown,unsat,2000.0,2000.0
47a1a6f5687ed19c5c0f77c2c81f3f81,tseitin_grid_n14_m14.cnf,unknown,unsat,2.403,2000.0
488b147304549670f31653c932684e2c,sin-mitern28.cnf,unsat,unsat,7.507,149.964
48eacbc152c7710dfd6fe17a8a17199e,SCPC-500-7.cnf,unsat,unsat,5.412,103.414
4a85e090bda23cef9bf2aed55d489ab6,sin_depth_miter_5.cnf,unsat,unsat,194.483,2000.0
4f888358cd62fe7bc602ea6882cdfc6d,bivium-40-200-0s0-0x92fc13b11169afbb2ef11a684d9fe9a19e743cd6aa5ce23fb5-19.cnf,unsat,unsat,19.824,32.01
51dd2c14736f2d9164f749d6a633ccb5,j3045_10_mdd_bm1.cnf,unknown,unsat,273.522,2000.0
567964f034c8ffa65952897ce4927c6c,ablmulub16x4o.cnf,unsat,unsat,11.52,19.611
56e7489da32260e1bdd085a418592ec2,cliquecoloring_n18_k6_c5.cnf,unknown,unsat,513.729,2000.0
59047491e4828ed2bb79572330df6f77,mdp-32-16-unsat.cnf,unknown,unsat,254.504,2000.0
594b07c07aee036a7aca35d44e2316da,div-mitern168.cnf,unsat,unsat,28.522,422.968
59e596f5f845a2487370950b37ec3db2,aws-encryption-sdk-c:aws_cryptosdk_enc_ctx_size.cnf,unsat,unsat,79.67,566.964
5c6495ff589cbbcb550e1655dadbd143,worker_40_80_35_0.85.cnf,unknown,unsat,2000.0,2000.0
5cc5e3d24402696ed4ec03edfa42d663,sudoku-N30-24.cnf,unsat,unsat,18.432,200.276
5d357f1e4b5abc96c90d305f629edd5c,ps_200_323_70.cnf,unsat,unsat,9.51,34.841
5e04f38ff11cee5d75fb98e12f6a14fc,sqrt-mitern172.cnf,unsat,unsat,9.514,29.836
5f24ae73bb2a0ec3bef68d8a9680f04f,af-synthesis_stb_50_80_7_unsat.cnf,unsat,unsat,26.625,2000.0
60a0ab2650e08f32c4fff6ff09369568,eqsparcl12bpwtrc12.cnf,unknown,unsat,138.527,199.107
65138afdf7eb054be5131f2b0de84369,satch2ways12u.cnf,unsat,unsat,4.516,25.331
65514d6ff224df20ba8c1aeec1698ab6,PancakeVsInsertSort_8_7.cnf,unknown,unsat,122.619,2000.0
6901858f1edbe3b1d327902dab720326,reconf20_20_grid10_4_4957.cnf,unsat,unsat,17.429,900.719
6a3e3d3a65a46608b44d81f9e4621087,6s105_Iter35.cnf,unsat,unsat,46.44,760.234
6b630aa05142274d965c8fc019db511e,bmc_QICE_rxrsp_vld_30.cnf,unsat,unsat,335.259,904.107
6dd57612dab7692b8c38225bb852ce36,hwmcc15deep-6s516r-k18-sc2017.cnf,unsat,unsat,23.427,2000.0
6e3015f2ce1f17e4f2b81dae06d73eec,gus-md5-11.cnf,unsat,unsat,63.446,2000.0
6f956a3f95ccaf35a3de1fe72b9cf79e,soelberg_unit_109.cnf,unsat,unsat,10.522,269.796
7101289c67f4c4ba117ad06ebb7d18a0,6s184.cnf,unsat,unsat,2.708,338.863
73ef1e87dbb7965ecb558e62dedb3a0c,SCPC-500-8.cnf,unsat,unsat,5.123,92.347
7703f7d1901ff09a0f177c52a1a7c107,linked_list_swap_contents_safety_unwind43.cnf,unsat,unsat,22.64,115.391
78cdffdf5bbb89beb753f9ffab7fa45f,sudoku-N30-6.cnf,unsat,unsat,18.319,169.826
7993005e2949524b293b216ed9c65126,cfi-rigid-s2-0064-03-or_2_shuffle_all.cnf,unsat,unsat,22.433,2000.0
7a236bb9e1566b80fa7b593a7e973efa,SCPC-500-16.cnf,unsat,unsat,5.41,211.268
7e5396d6b00b82c2fc0ea1d7c6505afd,manthey_single-ordered-initialized-w50-b7.cnf,unsat,unsat,15.522,2000.0
7e9318578a6bdd7dfa9fc261be8a0839,PancakeVsSelectionSort_7_7.cnf,unsat,unsat,66.251,2000.0
7f4d55b70c61ffc611a58e01d52c19bb,SCPC-500-11.cnf,unsat,unsat,6.413,278.949
7fe153ced2c966dcdeb42b6714b4d6b7,sudoku-N30-11.cnf,unsat,unsat,149.344,2000.0
7ff8c9781b3ada449ce489cdf444a760,Break_unsat_10_15.xml.cnf,unknown,unsat,682.607,2000.0
81b674a2aa6fbda9b06cf8ea334ddc44,beempgsol2b1.cnf,unsat,unsat,10.516,300.343
81e73c41a76d7b432cf86c43ffe23986,PancakeVsInsertSort_8_6.cnf,unsat,unsat,84.67,2000.0
85aa1f0820da17412b8ee803b4a85207,sudoku-N30-4.cnf,unsat,unsat,172.644,2000.0
885c0d25480fe4db3cd5d3b4bc044e76,SCPC-500-17.cnf,unsat,unsat,5.407,234.016
88bfa72210baef40a2903d95044dc19d,linked_list_swap_contents_safety_unwind40.cnf,unsat,unsat,20.624,63.375
8bfbffbfea9e5a5993bc024f39adff84,worker_40_80_40_0.85.cnf,unknown,unsat,2000.0,2000.0
8c8b72ac19c0f93813b614a18abaf512,aws-encryption-sdk-c:aws_cryptosdk_keyring_trace_eq.cnf,unsat,unsat,68.458,492.749
8f3d4a4fedf4689ae0e6df362478d551,PancakeVsSelectionSort_7_6.cnf,unsat,unsat,33.654,2000.0
90ec6ff35305fed1d9a87a3ecd87238b,linked_list_swap_contents_safety_unwind48.cnf,unsat,unsat,33.545,204.874
920bbe559da4ea37fd636605316a791c,SCPC-500-19.cnf,unsat,unsat,5.088,14.174
9cdf94203777c9f036f412bef1cc7c85,tseitin_n196_d3.cnf,unknown,unsat,2.416,2000.0
9e35558ea8ffba630cd8c8f90e14af14,string_compare_safety_cbmc_unwinding_730.cnf,unsat,unsat,59.264,731.15
9f7ec7ef3a908c2e93b5553670a207b1,rphp_p14_r14.cnf,unknown,unsat,238.487,2000.0
9f901378a6feabcc94019a018a70d42b,sin-mitern29.cnf,unsat,unsat,5.517,62.312
a09b0e7764666af044fa7e63dd7e7aef,PancakeVsSelectionSort_8_3.cnf,unsat,unsat,15.522,104.537
a0e98fd44b74e6f255ca1e5a20bc01fd,cfi-rigid-d3-0180-02-orig.cnf,unsat,unsat,44.647,2000.0
a1158a2d8c8a1c6da02c2c4fcb32337f,6s158_Iter2.cnf,unsat,unsat,6.318,27.262
a130a3f95891daed1bfd71c77bd2d8a1,SAT_dat.k80.cnf,unsat,unsat,13.217,74.373
a2609893b71f219f4635d33ef1ff6eca,j3045_4_gmto_bm1.cnf,unsat,unsat,56.455,906.58
a2bdae1f9d9695e8cf80cfbbd5f7d61f,PancakeVsSelectionSort_8_4.cnf,unsat,unsat,93.476,2000.0
a33d32bb816c0da62c7d946c18286a0d,SCPC-500-2.cnf,unsat,unsat,4.608,109.3
a4451734e7f5f2ce7b481688a693c4e9,worker_20_20_16_0.9.cnf,unsat,unsat,2000.0,2000.0
a58badecf3c901594f06d021f54c3a11,aws-c-common:aws_priority_queue_s_sift_either.cnf,unsat,unsat,58.445,415.927
a5e0082efb1da4dabaa165c2bda5f85e,linked_list_swap_contents_safety_unwind41.cnf,unsat,unsat,24.544,76.243
a65dfd8b3468d202ff3ba8731018622e,j3037_10_gmto_bm1.cnf,unsat,unsat,10.336,65.445
a7aac5c83f236fd8b3de3275e3f5499d,edit_distance041_183.cnf,unsat,unsat,8.386,389.582
a7cb2567e1f5b7ec2f4ba09931e29b96,s2n:s2n_stuffer_write_base64.cnf,unsat,unsat,125.393,2000.0
aa4638ca3654f1a300c809125a3133ee,6s22_Iter57.cnf,unsat,unsat,39.229,505.223
ae5f6e83a289d226a353efd95b663717,6s22_Iter99.cnf,unknown,unsat,347.303,2000.0
af63ce577d1fea121ba80b4b1d148f0c,sudoku-N30-22.cnf,unsat,unsat,15.319,124.971
b29cb3449d70126d186e1f6a4fccc419,pj2015_k9.cnf,unsat,unsat,70.253,844.072
