hash,benchmark,verified-result,claimed-result,CaDiCaL_DVDL_V1,CaDiCaL_DVDL_V2,CadicalReorder,Cadical_ESA,IsaSAT,Kissat_MAB-HyWalk,Kissat_MAB_ESA,Kissat_MAB_MOSS,Kissat_MAB_UCB,Kissat_adaptive_restart,LSTech_Maple,LStech-Maple-HyWalk,MapleLCMDistChrBt-DL-v3,SLIME SC-2022,SLIME SC-2022-beta,SeqFROST-NoExtend,cadical_rel_Scavel,ekissat-mab-db-v1,ekissat-mab-gb-db,glucose-reboot,hCaD_V1-psids,hKis-unsat,kissat-els-v1,kissat-els-v2,kissat-sc2022-bulky,kissat-sc2022-light,kissat_inc,kissat_relaxed
6f9d7d962beea74eddf5077eee7c1e24,grid-pbl-0100.shuffled-as.sat05-1346.shuffled-as.sat05-1346.cnf.xz,unsat,unsat,0.247787,0.23868,0.216578,0.231948,135.578,0.18548,0.179635,0.175384,0.175346,2.22084,10000.0,10000.0,10000.0,10000.0,10000.0,1.88307,0.205645,0.192739,0.192796,0.071258,0.194945,0.258537,2.10299,2.25052,1.7154,1.93903,0.194419,0.541166
6fac0a6ec09fabc6c9e0d6dcc1f0e0c1,AProVE09-22.cnf.xz,sat,sat,0.042474,0.042279,0.050645,0.042222,0.0827,0.088394,0.085087,0.085571,0.08515,0.069677,0.520749,7.97114,1.77458,1.46557,1.31515,0.155077,0.043839,0.086551,0.396842,0.108962,0.040238,0.172981,0.068126,0.068466,0.079273,0.065702,0.445354,0.093499
6fbed10d0ff5bea497d26c08ad2f8009,scc_1213_40_10_3.apx_0.cnf.xz,sat,sat,151.119,83.0859,55.8793,445.779,1206.05,32.2941,60.5431,60.5876,60.2084,84.6108,164.407,534.361,450.436,1458.85,813.447,142.847,866.271,34.8444,106.012,490.367,18.906,22.3367,114.346,124.588,150.309,35.7225,26.784,345.593
6ff4198f0afaa8cd07f0c33edb9f71e7,qwh.60.1692.shuffled-as.sat03-1658.cnf.xz,sat,sat,488.449,479.034,27.9177,416.237,553.102,268.665,42.9361,259.391,259.565,32.4043,109.771,30.8534,359.34,290.859,335.581,365.54,336.73,81.6149,82.2534,960.763,1335.54,267.536,42.2431,20.4368,23.8928,24.9457,107.592,64.8491
6ff70a3aaf261b35b0b072f454a756be,crafted_n10_d6_c4_num9.cnf.xz,unsat,unsat,110.414,103.197,141.15,132.779,2599.46,154.897,136.956,146.342,145.576,165.081,348.428,168.142,482.756,504.992,207.187,323.715,134.227,155.017,152.171,570.957,194.553,240.309,154.049,187.291,185.984,255.24,157.307,387.85
6ff98b815c0ff57d92086702e7dd2829,urqh1c2x2.shuffled-as.sat03-1457.cnf.xz,unsat,unsat,0.005691,0.005665,0.006162,0.009556,0.004154,0.005422,0.004072,0.004006,0.004053,0.006372,2.4735,3.3566,0.005589,0.892653,0.903163,0.05293,3.77115,0.004952,0.004967,0.00409,0.004901,0.055036,0.005238,0.005081,0.0051,0.004768,0.00404,0.004863
70098e87af7e1b512b50985e1b319e0c,ctl_4291_567_12_unsat_pre.cnf.xz,unsat,unsat,595.398,598.766,515.451,501.164,1242.43,527.364,498.104,543.291,508.772,474.616,578.732,609.824,556.469,673.213,683.548,606.684,488.303,452.003,458.795,421.364,443.824,438.892,399.435,587.183,464.2,537.063,461.316,505.315
700d5502beae6d0e9cac8bf7659c819e,crafted_n12_d6_c4_num8.cnf.xz,unsat,unsat,224.237,231.443,261.886,236.491,3682.0,333.72,286.585,300.188,288.183,460.346,509.687,414.005,748.935,560.582,504.884,613.523,295.418,278.073,288.203,928.556,258.588,321.044,399.07,406.079,376.859,453.913,361.063,637.236
7019380ece3206b1bbc6f544ce63c08d,gss-32-s100.cnf.xz,unknown,sat,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
701c96dc91c057c23026454520da2054,hwmcc10-timeframe-expansion-k45-pdtswvqis8x8p2-tseitin.cnf.xz,unsat,unsat,7.19303,7.14606,6.55152,6.87079,5.67329,6.71612,6.28723,6.42048,6.31775,6.82897,9.82109,7.84602,13.2538,21.8466,9.56953,3.31112,7.08729,6.86289,8.20379,2.83955,6.12899,6.01618,6.7358,6.65721,7.37058,5.2977,7.83946,8.18368
701fcca512472c9978327f0436e4d49f,satellite3_ks99i.renamed-as.sat05-3984.cnf.xz,sat,sat,0.013235,0.013304,0.014416,0.013329,0.012401,0.008622,0.007808,0.007718,0.007589,0.009096,0.057181,0.056657,0.03993,0.065394,0.065731,0.045063,15.312,0.008109,0.008203,0.038904,0.015808,0.036396,0.00791,0.007901,0.008038,0.007798,0.007595,0.008585
7029fb4ec7af44f5962539a33e55645e,bvsub_08985.smt2.cnf.xz,unsat,unsat,970.372,1106.36,416.973,511.127,888.873,411.39,333.148,423.751,402.004,394.123,1126.56,1295.74,862.201,1138.41,851.907,424.031,394.854,409.372,401.339,1278.95,402.882,379.011,328.482,309.339,427.051,186.637,479.382,501.947
7038ba74bfed733ed3d2338747864faa,fclqcolor-10-06-07.shuffled-as.sat05-1274.cnf.xz,unsat,unsat,194.428,184.513,152.555,130.644,426.339,102.849,38.4112,103.983,100.749,348.957,71.1256,76.6394,144.695,85.8855,110.175,103.16,153.892,111.022,111.967,98.3239,79.6861,72.5337,365.364,177.941,163.429,220.48,75.5848,100.5
7038db784772628e70510df5f3a5ce91,q_query_3_l40_lambda.cnf.xz,sat,sat,3.03946,3.03012,3.73747,2.77558,7.62179,2.49351,1.82487,2.48944,2.48462,5.2464,8.03703,25.0975,7.24384,13.3752,12.201,2.87787,2.80915,4.91907,2.87155,16.2849,2.61096,1.44347,6.44555,5.32437,3.34523,2.74872,1.52666,2.71112
703dad1270c4e7fe6b814703754abd53,Composite-024BitPrimes-1.used-as.sat04-861.cnf.xz,sat,sat,144.645,130.842,155.24,120.967,419.26,257.72,263.783,212.54,193.196,8.04874,95.4982,32.0737,61.002,191.018,22.189,284.519,56.681,142.441,100.197,310.636,122.103,167.52,57.234,26.3049,217.816,29.1189,194.704,146.708
