hash,benchmark,verified-result,claimed-result,mallob-kicaliglu,paracooba
114f1b2ffd86e8a176bcbab664415520,bobsmdct_k88.cnf,unsat,unsat,40.153,2000.0
129162378e8ad29b5485a9c53feee4b7,hantzsche_wendt_unit_93.cnf,sat,sat,5.517,2000.0
13b13b34fe88f093aca06d6d035ee797,Lab-Project-FreeRTOS-Cellular-Library:Cellular_ATRemovePrefix.cnf,unsat,unsat,97.091,2000.0
14f35ebcab936f66fc9292ff62cf39a7,h31.cnf,unknown,unknown,2000.0,2000.0
157c7496c04d3fc63565cd7999dc45a5,Carry_Save_Fast_1.cnf.cnf,sat,sat,2.402,88.216
161a73825fb50badeedbf8d12e1e043a,cfi-rigid-z2-0088-03-or_2.cnf,unsat,unsat,19.12,322.228
16a0949c23ac67c57c5773403daaca60,coreMQTT:MQTT_Connect.cnf,unsat,unsat,102.573,2000.0
1b78438db7da55c2b4c4b8ec6b6cd6c6,soelberg_unit_158.cnf,unknown,unsat,110.406,2000.0
1ebab99edff4c0470c8aa753bb9d3353,summle_X8637_steps8_I1-2-2-4-4-8-25-100.cnf,sat,sat,6.324,27.703
1fabadca67bfeada7086035761b88b33,sum_of_three_cubes_165_unknown_representation.cnf,unknown,unknown,2000.0,2000.0
1fee9f154615842029ec63d8520f4b4e,GP_300_250_15.cnf,sat,sat,22.352,2000.0
20840b5020649385e3f8f4965de7a123,hantzsche_wendt_unit_83.cnf,unsat,unsat,17.518,622.884
23e61c50ee2ac5cad1d337572abdebcf,aws-encryption-sdk-c:aws_cryptosdk_priv_hdr_parse_edks.cnf,unsat,unsat,114.596,637.211
24af39156d1daa122e5928d9aba11847,GP_100_948_33.cnf,sat,sat,25.361,2000.0
2551afad6b364a7225cdd1b9fa82f7c0,worker_500_500_500_0.35.cnf,sat,sat,8.807,7.037
26342c62148962a09872831b7cef8aae,div-mitern165.cnf,unsat,unsat,65.529,2000.0
26f8332e50a4ba5c371852e3737a3002,mdp-28-11-unsat.cnf,unsat,unsat,44.436,2000.0
