hash,benchmark,verified-result,claimed-result,CaDiCaL_DVDL_V1,CaDiCaL_DVDL_V2,CadicalReorder,Cadical_ESA,IsaSAT,Kissat_MAB-HyWalk,Kissat_MAB_ESA,Kissat_MAB_MOSS,Kissat_MAB_UCB,Kissat_adaptive_restart,LSTech_Maple,LStech-Maple-HyWalk,MapleLCMDistChrBt-DL-v3,SLIME SC-2022,SLIME SC-2022-beta,SeqFROST-NoExtend,cadical_rel_Scavel,ekissat-mab-db-v1,ekissat-mab-gb-db,glucose-reboot,hCaD_V1-psids,hKis-unsat,kissat-els-v1,kissat-els-v2,kissat-sc2022-bulky,kissat-sc2022-light,kissat_inc,kissat_relaxed
b628043a07c5576dd6cd21c9d73a69e0,fixedbandwidth-eq-37_shuffled.cnf.xz,unsat,unsat,1015.81,739.61,867.987,1154.05,10000.0,547.492,272.577,517.466,537.777,1382.41,10000.0,10000.0,10000.0,10000.0,10000.0,1273.16,542.925,648.613,512.901,10000.0,2371.19,504.127,2081.22,1208.2,636.553,680.308,354.939,10000.0
b675ff0d198a1ddf59de56ac6e98481f,marg3x3.shuffled-as.sat03-1450.cnf.xz,unsat,unsat,0.07648,0.076477,0.063156,0.052361,0.394295,0.063734,0.111894,0.110954,0.111062,0.094683,2.83766,3.45878,1.45898,2.27619,0.998789,0.13537,3.73898,0.11433,0.113133,0.48979,0.077594,0.201392,0.099421,0.10305,0.110148,0.133357,0.045524,0.149007
b680dff3be5cb5839d6b54821cd38b41,6s19.cnf.xz,unsat,unsat,694.124,621.789,665.383,644.472,10000.0,293.279,401.476,371.151,353.267,467.331,1012.75,901.742,347.607,954.224,1599.66,429.622,642.801,316.901,347.913,531.509,598.321,348.875,703.491,379.607,440.376,495.976,357.8,648.74
b6a597cf8ee0031341730aaf77ef2fcf,g2-hwmcc15deep-6s161-k18.cnf.xz,unsat,unsat,3732.0,3320.07,3039.32,3100.99,10000.0,2949.44,2856.03,2633.39,2628.94,4045.62,10000.0,10000.0,4040.47,10000.0,10000.0,10000.0,3784.43,2972.31,2869.98,10000.0,10000.0,2302.48,10000.0,2354.39,2279.97,2372.62,2909.09,10000.0
b6b2cc63c2c7b9fe89a9038dc55a3bf0,gt-040.shuffled-as.sat05-1297.cnf.xz,unsat,unsat,3.84937,3.92411,1.06909,1.7075,0.679462,0.531735,0.518254,0.518721,0.516125,0.320857,47.0562,26.3263,50.2792,24.0978,8.00034,0.591912,158.568,0.64266,0.626619,10.478,3.09687,0.826699,0.269161,0.280847,0.296063,0.523014,0.687305,1.73885
b6c3ea7749821d1afd11377c5631c3d1,gensys-icl002.shuffled-as.sat05-3823.cnf.xz,unsat,unsat,52.2917,52.0927,30.0374,42.6716,223.278,55.3563,55.3895,61.8395,58.7264,23.7042,47.2615,36.5079,25.9183,21.4369,26.9273,44.7043,91.3806,55.9116,55.1576,38.2094,37.3121,57.1372,24.88,22.2508,17.4821,19.1372,67.3492,65.8746
b6fee10cb9e4834fab599f6e9a25620c,ae_rphp075_04.cnf.xz,unsat,unsat,1342.4,1221.85,835.798,747.396,10000.0,1442.35,1371.0,1526.04,1445.31,649.817,10000.0,10000.0,2531.38,10000.0,10000.0,10000.0,927.248,1445.56,1458.14,4032.84,1496.81,1460.64,723.628,613.312,618.217,594.202,1379.51,2442.08
b70b07489391f3e323d29718ad2d61db,homer09.shuffled.cnf.xz,unsat,unsat,19.3921,19.0076,15.5298,15.6689,9.70125,13.1738,7.7321,13.4233,13.2659,13.0095,37.275,22.6992,23.9509,37.9825,33.3538,21.0049,23.4129,9.03462,11.6612,36.5907,13.1198,12.8157,12.7482,12.7974,11.1793,18.0855,16.1288,20.8577
b734f5cf350b4ffe94d0b26e9b16d170,crafted_n12_d6_c3_num30.cnf.xz,unsat,unsat,125.746,116.436,107.017,117.113,1871.07,354.364,285.354,253.422,259.267,189.134,312.639,352.723,573.35,374.93,309.665,529.769,105.417,376.112,292.325,586.412,216.493,287.034,171.229,208.155,221.33,258.319,277.324,539.304
b751565ec0257a4cae953f959e4d46b7,crafted_n10_d6_c3_num11.cnf.xz,unsat,unsat,88.5844,87.7453,89.3056,69.0425,1414.11,177.359,181.326,211.657,187.848,133.105,248.399,193.404,357.829,264.761,166.411,318.949,63.8856,145.747,184.174,442.301,127.529,241.557,150.423,136.243,121.059,163.002,155.6,300.582
b76b9699c2deb74dd9b4a99a05179acd,hitag2-8-60-0-0xdcdbc8bf368ee73-37.cnf.xz,unsat,unsat,2970.5,2975.03,2930.51,2929.14,10000.0,2838.16,2906.17,2906.14,2866.32,2814.35,3021.06,4002.93,2226.44,3137.99,3245.8,10000.0,3096.95,2866.11,2621.44,10000.0,3183.08,1604.57,4673.91,2506.44,2876.63,3622.49,2546.92,1696.3
b7db3c11a75d5f6370fc3fadcfe270d5,QG7a-gensys-icl004.sat05-3825.reshuffled-07.cnf.xz,unsat,unsat,52.6419,52.4776,49.904,50.2036,423.0,64.4151,51.3524,54.3471,50.4999,18.9931,73.6153,34.8632,23.6607,28.2161,42.1668,40.3367,101.957,72.1668,55.6163,31.253,46.872,47.0318,17.8689,15.7285,14.3313,16.528,49.6946,66.7935
b7df8585b4695869fa6f857adb940897,mod4block_2vars_8gates_u2_autoenc.cnf.xz,unsat,unsat,2264.84,2863.99,2053.22,1927.43,10000.0,3094.29,3112.34,3570.18,3205.74,10000.0,10000.0,10000.0,4188.96,10000.0,10000.0,2442.44,2141.04,2312.58,3530.85,3987.35,2217.33,3403.75,10000.0,10000.0,2533.16,2645.84,2817.24,10000.0
b7eff8e18bcc8d6a4688491ee81f3eb5,hitag2-10-60-0-0xa360966c6eb75c4-62.cnf.xz,unsat,unsat,4355.69,3370.56,3818.61,3956.67,10000.0,3600.55,4222.63,4557.36,3819.86,3271.43,3272.34,4221.02,2255.74,3474.02,3192.83,10000.0,3691.04,3946.88,3893.82,10000.0,4294.55,2282.95,10000.0,4008.48,3990.74,4438.52,3828.77,2066.76
