hash,benchmark,verified-result,claimed-result,mallob-kicaliglu,paracooba
0216f9d35f2b695b904fffb312e3e611,cms-scheel-md5-families-r24-c11-p1-4-6-9-10-11-13-15-17-18-19.cnf,sat,sat,2.407,23.342
02197ec055ea06c347bf1c6ceb6facf7,slp-synthesis-aes-bottom24.cnf,unknown,unknown,2000.0,2000.0
02223564bd2f5c20768e63cf28c785e3,mp1-squ_ali_s10x10_c39_abio_SAT.cnf,sat,sat,3.285,109.388
02257f12aa71e6622d2bf4d0f7111ebf,sgen1-unsat-139-100.cnf.mis-105.debugged.cnf,unknown,unknown,2000.0,2000.0
0227c865edaeda75e13eea36d57b7eed,sdiv40prop.cnf,unknown,unknown,2000.0,2000.0
022b841952d37f0d6a0d050c9b4b0071,goldb-heqc-i8mul.cnf,unsat,unsat,7.372,71.911
022dc7e9935f3570c088db58bd84b2c6,mrpp_6x6#12_8.cnf,unsat,unsat,2.107,0.049
02404a08ea36dd43362bbddc578c839d,ctl_4201_555_unsat.cnf,unsat,unsat,17.329,2000.0
0240f5bddc39ad2f0a786c811fc434a8,SC21_Timetable_C_542_E_71_Cl_36_S_35.cnf,sat,sat,21.444,2000.0
0241f35c5752768d2b0580533d143a14,53-131587.cnf,sat,sat,19.386,2000.0
024af9416f8c1dad1b4f974757e38d51,8-5-6.cnf,sat,sat,100.589,2000.0
0261b44c278c36459061c368aa00575a,EDP3-12000.cnf,sat,sat,26.331,53.237
02627689047d06fbb642eef14768d751,ps_200_300_70.cnf,unsat,unsat,9.578,41.057
0278eee117c3821771e2d18d710a89ad,equilarge_l5.sat05-522.reshuffled-07.cnf,unknown,unknown,2000.0,2000.0
028d0cc7af63e9bba5795f20e24db4f6,pyhala-braun-sat-35-4-04.shuffled.cnf,sat,sat,2.48,4.98
0294158664d9ada36bd23fbb652cb823,smtlib-qfbv-aigs-countbits128-tseitin.cnf,unsat,unsat,104.482,2000.0
0297c2a35f116ffd5382aea5b421e6df,Urquhart-s3-b3.shuffled-as.sat03-1556.cnf,unsat,unsat,2.483,2.974
02b69d0e5c2b68d5c3d650164b6c277d,Q3inK08.cnf,sat,sat,2.576,0.039
02bc149bbe801807912f651c7bad3e74,dead-dnd008.shuffled-as.sat05-3114.cnf,unsat,unsat,11.476,101.374
02c3f1d24074cba45a64d0b4b5aa0238,g2-hwmcc15deep-bobpcihm-k32.cnf,unsat,unsat,83.448,2000.0
02c6fe8483e4f4474b7ac9731772535d,ncc_none_7047_6_3_3_0_0_420.cnf,unsat,unsat,56.331,405.653
02cfa5a71b5c89a1b10b5f5a5221ed05,clauses-8.cnf,sat,sat,36.617,123.013
02d8847ee38504792705d794eb93e9a7,traffic_b_unsat.cnf,unsat,unsat,8.483,186.946
02eef920cd1aab9ef3492fe27bf515c4,php-025-024.shuffled-as.sat05-1191.cnf,unknown,unsat,2.786,2000.0
02f2343e32f9070f149708d77556b4aa,Kakuro-easy-117-ext.xml.hg_5.cnf,sat,sat,45.128,296.361
03041657b7177746724b819433c83b20,blocks-4-ipc5-h21-unknown.cnf,unsat,unsat,6.583,27.832
0309ea422084568c2b4df13b32094380,rbsat-v945c61409gyes1.cnf,sat,sat,4.477,2000.0
031757c0a6797eddf3e84bcefbbdb753,b2005-p2-14x14c17h9-Ser4-0.cnf,unknown,unknown,2000.0,2000.0
031c99d72be38eedacc8b402784e9821,partial-10-17-u.cnf,unknown,unknown,2000.0,2000.0
033560dbd1b4d3545b4b40ef90aaaa29,total-5-15-u.cnf,unknown,unsat,145.288,2000.0
