hash,benchmark,verified-result,claimed-result,mallob-kicaliglu,paracooba
03c5fef8cb8957ecf687548c8d504d10,SGI_30_80_21_90_2-log.shuffled-as.sat03-198.cnf,unknown,unsat,831.755,2000.0
03c8a9ffce923a8cb3452f18d371eacf,rook-55-0-1.cnf,unsat,unsat,106.455,2000.0
03d8064f3be30daecf2ffe4c54361e61,edges-025-4-7932777-1-00.cnf,unsat,unsat,1.993,2000.0
03f25e67e52baf9fb1e782026d46c8a8,rope_0003.shuffled.cnf,unsat,unsat,2.273,0.048
04071576275e4113b60c21601b364345,marg2x5.shuffled-as.sat03-1443.cnf,unsat,unsat,2.473,0.121
0412f6f3174dfc4c27ad0b61280cd739,SGI_30_40_30_20_2-dir.shuffled-as.sat05-442.cnf,unsat,unsat,6.475,758.232
04157f716c1e9606c6a530657bf8f957,Kakuro-easy-125-ext.xml.hg_4.cnf,unsat,unsat,160.435,2000.0
041699620802b7ed905f93976ae60bef,longmult9.cnf,unsat,unsat,3.585,4.593
041ef0a56340a623c38e6b9012933624,shuffling-2-s554396412-of-bench-sat04-318.used-as.sat04-598.cnf,unsat,unsat,23.684,268.028
0421d8c1dec913b76dc72d781a864a80,dead-dnd006.shuffled-as.sat05-3112.cnf,unsat,unsat,10.516,121.891
042846b7b23a617ad1730e9eb2dbdceb,ctl_4291_567_9_unsat_pre.cnf,unsat,unsat,12.601,2000.0
04327b18171b43ff06586707499b97fc,hypercube4.shuffled-as.sat03-1434.cnf,unsat,unsat,2.779,0.138
0447371bb8a97e8fe5d3cee6de1db766,UTI-20-10p0-sc2009.cnf,unsat,unsat,32.919,841.186
044d27388c142e8e47812d9518e01b2f,shuffling-2-s2123257475-of-bench-sat04-327.used-as.sat04-589.cnf,unsat,unsat,4.481,13.512
044eced3d5aac22e0f34ad02071132f7,Q32inK10.cnf,unsat,unsat,4.495,14.334
04557a22f623dcbae86173fced057c99,baseballcover14with25.cnf,unsat,unsat,35.022,129.595
0458851a021830f297e5dc3418ece838,g2-T96.1.1.cnf,unsat,unsat,17.321,20.046
04674c7c9520c7edc0426b820f837726,hwb-n30-01-S682466202.shuffled-as.sat03-1632.cnf,unknown,unsat,129.381,2000.0
047c92e7c0a36a23d8107f4313517719,rubikcube701-sc2017.cnf,unsat,unsat,22.498,435.901
04b2a7f442ed1b15439d0678ce902d6f,f2clk_40.shuffled.cnf,unsat,unsat,6.389,10.86
04d2cca932a87b98ebfc7bbd0fe6ed5d,safe009_pso.oepc_true-unreach-call.i-cbmc-u2.cnf,unsat,unsat,2.583,0.685
04dd37bd8e319df958e1e091ec60de5b,gensys-icl003.shuffled-as.sat05-2715.cnf,unsat,unsat,4.169,12.315
04e50bc7a121716e396dc538ab24490e,5col120_15_5.shuffled.cnf,unsat,unsat,10.512,379.079
050214ecbd9e96136fe1bc73447f1303,easier-php-035-029.sat05-1179.reshuffled-07.cnf,unknown,unsat,2.777,2000.0
0521cd68355dd16e8f7940f43003d904,crafted_n10_d6_c4_num10.cnf,unsat,unsat,22.406,157.425
0533a1506eb61460bee3917f61ca4c49,SGI_30_80_29_60_7-dir.shuffled-as.sat03-217.cnf,unknown,unsat,153.404,2000.0
0534387f90398a24495d4b7b05f9b342,dated-5-13-u.cnf,unsat,unsat,32.3,2000.0
05680de3febd39916e496dd772cb8c19,minor032.cnf,unsat,unsat,2.378,0.222
057f143aae50b8abc3e083b7609353be,g2-T133.2.1.cnf,unknown,unsat,163.125,2000.0
05817b4e1add561af0e1165e01fb48cc,q_query_3_l45_lambda.cnf,unsat,unsat,11.383,56.299
0587f345cca3ef8340e8e71829dce130,VanDerWaerden_2-3-12_135.cnf,unsat,unsat,4.377,70.34
05c52a5f9133f5afca84767f2eff98fa,g2-T103.2.1.cnf,unsat,unsat,29.534,861.866
05e5b5a37a0d7cb5e96c82b84bbdca66,Mycielski-11-hints-3.cnf,unsat,unsat,19.588,435.258
05f3a48298721d68cded8618b432e7c3,s85-100.cnf,unsat,unsat,1.978,157.47
060b7ed7ef9e59576b9ee62c998a5103,bvslt_13916.cnf,unsat,unsat,35.213,117.712
0614e1ae5100ee0aca4ea24424479fa3,hwb-n32-01-S1491788039.shuffled-as.sat03-1637.cnf,unknown,unsat,212.843,2000.0
06166a0dd78f45c213add974a6711dfe,barman-pfile10-038.sas.cr.25.cnf,unsat,unsat,9.616,22.951
062f58e44eb73f9274b57af5092cad90,rook-51-0-0.cnf,unsat,unsat,80.445,2000.0
066d6a47dfd9648d913ba8dbce722d75,slp-synthesis-aes-bottom16.cnf,unsat,unsat,193.436,2000.0
06872e73223dc74c76b06f37a185dc22,VanDerWaerden_2-3-16_238.cnf,unknown,unsat,899.41,2000.0
068c64314f0f8405bc28bb4c52647145,sokoban-p20.sas.cr.27.cnf,unsat,unsat,60.218,2000.0
0697524f77ccd503f7e5fe15f23a1268,crafted_n12_d6_c4_num27.cnf,unsat,unsat,27.494,318.249
069f7d519e820f6b879f880703907bb3,SGI_30_60_28_40_2-dir.shuffled-as.sat03-124-sc2002.cnf,unsat,unsat,13.381,2000.0
06d2543c151c2478fde159c6dc0424ac,udiv45prop.cnf,unsat,unsat,195.334,2000.0
06e997650b24ac5b5f87c1c64f4a5dcb,edn_9789_8.cnf_0.51000000.unsat.cnf,unsat,unsat,3.373,0.792
0701a5b57f9b37c5fcb77463c8582693,T84.2.0.cnf,unsat,unsat,41.106,405.018
070fde310eca4ddf6967896052efcb30,at-least-two-smtlib-qfbv-aigs-ext_con_032_008_0256-tseitin.cnf,unsat,unsat,3.41,2000.0
073c28dfd3204f4c51e03c297ac841c1,mod2c-rand3bip-unsat-120-3.shuffled-as.sat05-2340.cnf,unsat,unsat,2.582,67.202
075c4fe7ae4cef57f1a4c00e58142e23,x1.1_64.shuffled-as.sat03-1585.cnf,unknown,unsat,2.598,2000.0
076d4d6f83306ee69c35e3c99e30d8f8,x2_16.shuffled.cnf,unsat,unsat,2.774,0.071
079b400eede86df1f1ffd6a3c303278b,hypercube5.shuffled-as.sat03-1435.cnf,unsat,unsat,2.479,2000.0
079fec8d04a6ee936227ea90ea0903bf,tseitingrid6x175_shuffled.cnf,unknown,unsat,2.789,2000.0
07b476c83150d3cb7e08f5d045e255ab,marg5x5.shuffled-as.sat03-1455.cnf,unknown,unsat,2.396,2000.0
07bbbb292324c8d8baeb232e144349fa,rand_net40-60-1.shuffled.cnf,unsat,unsat,2.469,0.157
07c50b89d97a55b6e1629999a445a2ba,ctl_4201_555_unsat_pre.cnf,unsat,unsat,16.427,2000.0
07e851c74295f7ddf472820c0f0164e8,x2_72.shuffled-as.sat03-1604.cnf,unknown,unsat,2.39,2000.0
07f5f3ca046261c3819c5c888ac837e5,mod2c-rand3bip-unsat-105-3.shuffled-as.sat05-2325.cnf,unsat,unsat,2.886,25.975
08063f5baf6655656a300c946aaaca60,gt-ordering-unsat-gt-045.sat05-1310.reshuffled-07.cnf,unsat,unsat,2.684,1.383
08300e286c3380f7e7291ca6a534c97b,comb3.shuffled.cnf,unsat,unsat,3.984,3.896
0831000a5a9727aa5fa3332df10cdb57,edn_20403_12.cnf_0.08000000.unsat.cnf,unsat,unsat,2.474,0.168
08469bbccc41da0c124d69c61ce7dc58,barman-pfile07-027.sas.cr.37.cnf,unsat,unsat,12.318,45.091
0850db65220080c130d2f54005f9e2b3,dspam_dump_vc972.cnf,unsat,unsat,2.586,5.397
0855033e761d91ae367e867c5a569f9e,atco_enc1_opt2_10_15.cnf,unsat,unsat,16.398,223.62
085792654d945c1de700245916f2c7f6,tseitingrid5x185_shuffled.cnf,unsat,unsat,2.6,2000.0
08a25022c4136f2ceb36db62ce3503bb,c6bi_i.cnf,unsat,unsat,6.971,13.829
08abbb56b2345b2da7af8866a4e8ad44,size_4_5_5_i037_w31_r9.cnf,unsat,unsat,86.36,2000.0
08be288536c3178e6874a5676493923c,g2-hwmcc15deep-bob12s02-k16.cnf,unknown,unsat,198.322,2000.0
08c21a3bc091abcb67b883061e2381c9,mm-2x3-8-8-sb.1.shuffled-as.sat03-1504.cnf,unsat,unsat,23.445,417.663
08cb0cf252b65c30c7c55218825c6ca0,hsat_vc12072.cnf,unsat,unsat,2.785,6.186
08cf53ca00dce11f5bfc02121c9bcd33,GreenTao_2-3-5_528.cnf,unsat,unsat,6.586,539.472
08e1c46acda38a12fa3229f9f224425d,Haystacks-ext-12_c18.cnf,unsat,unsat,16.521,158.435
08e8e08679a3c2ccb537d682165cb351,by-X-2-7-100.cnf,unsat,unsat,27.292,644.711
08eeb55c898dc6bedc915ed191dab009,total-10-11-u.cnf,unsat,unsat,7.483,16.113
08f2462515d5c1ffd0881dd5801f54bd,SGI_30_70_28_60_5-dir.shuffled-as.sat03-177.cnf,unknown,unsat,54.353,2000.0
0928111a3d5d5ce05dffb83cb5982eba,Steiner-9-5-bce.cnf,unsat,unsat,1.971,0.037
095c4cfbf18326c010e9e5d8ae652970,fdmus_b15_296.cnf,unsat,unsat,2.919,1.06
095e78b37897df838f5137b24aa59ed6,marg3x5.shuffled-as.sat03-1452.cnf,unsat,unsat,2.585,45.017
