hash,benchmark,verified-result,claimed-result,CaDiCaL-watchsat-lto,CaDiCaL_DVDL_V1,CaDiCaL_DVDL_V2,CadicalReorder,Cadical_ESA,IsaSAT,Kissat-MAB-rephasing,Kissat_MAB-HyWalk,Kissat_MAB_ESA,Kissat_MAB_MOSS,Kissat_MAB_UCB,Kissat_adaptive_restart,Kissat_cfexp,LSTech_CaDiCaL,LSTech_Maple,LSTech_kissat,LStech-Maple-BandSAT,LStech-Maple-FPS,LStech-Maple-HyWalk,MapleLCMDistChrBt-DL-v3,MergeSat 4.0-rc-rc3,SLIME SC-2022,SLIME SC-2022-alpha,SLIME SC-2022-beta,SLIME SC-2022-gamma,SeqFROST-ERE-All,SeqFROST-NoExtend,cadical-hack-gb,cadical_rel_Scavel,ekissat-mab-db-v1,ekissat-mab-db-v2,ekissat-mab-gb-db,glucose-reboot,hCaD_V1-psids,hCaD_V2,hKis-psids,hKis-sat,hKis-unsat,kissat-els-v1,kissat-els-v2,kissat-els-v3,kissat-els-v4,kissat-mab-gb,kissat-sc2022-bulky,kissat-sc2022-hyper,kissat-sc2022-light,kissat-watchsat-lto,kissat_inc,kissat_pre,kissat_relaxed
7c15baa29f2228703e5161bfabd91773,reconf10_140_queen6_1.cnf.xz,sat,sat,437.014,142.677,142.988,1017.31,291.226,10000.0,1164.08,188.471,336.262,761.433,1215.17,524.428,194.073,362.779,661.706,595.423,950.837,746.506,1600.66,397.987,225.666,2125.66,1023.27,2515.08,344.446,709.632,1165.89,279.368,454.187,172.597,180.998,308.763,488.965,10000.0,1346.34,10000.0,284.929,920.853,1209.66,1961.6,178.154,602.506,1279.68,462.61,313.832,486.647,640.184,1219.82,239.81,442.133
7c6a06895899eab7cb83b658898ac327,reconf10_145_queen6_2.cnf.xz,sat,sat,1187.69,1890.76,1434.69,60.4464,440.06,10000.0,1684.29,303.362,1778.21,884.032,1576.23,1321.39,1086.53,1262.71,594.091,713.389,322.03,1066.22,320.185,847.933,10000.0,828.001,625.928,200.405,2075.23,1115.07,607.166,1177.55,939.797,1031.41,571.362,285.909,1563.52,10000.0,164.03,10000.0,657.659,2067.73,755.231,332.163,235.289,2332.22,974.99,943.378,2527.35,682.447,2683.86,2170.13,2089.33,186.919
7d2199baf2526263b5f753d290d2790b,md4__zeroOut_19__freeIn_23__seed_2.cnf.xz,sat,sat,107.122,23.5339,23.5273,1008.37,1580.05,3803.41,1431.37,1789.19,527.86,1267.09,701.447,10000.0,642.496,220.138,1422.13,320.939,10000.0,847.078,589.93,1112.13,233.084,1546.63,10000.0,1966.95,698.073,659.55,2199.2,1686.83,4553.95,220.71,3951.59,388.646,2609.67,2721.85,106.223,1799.45,1244.59,1174.06,251.389,2811.99,4535.69,843.512,1143.47,1801.75,548.559,3037.45,794.151,2237.33,2334.59,37.7476
7efdf72de31fa82aeceb7acbc29a59bf,vlsat2_113_1150.cnf.xz,sat,sat,10000.0,10000.0,10000.0,10000.0,3219.65,41.2953,425.561,11.1794,11.2586,11.2192,11.1936,515.397,0.628168,3447.38,10.0632,9.12279,28.8619,11.5754,10.7384,33.3236,15.8088,8.39512,8.51608,8.42759,8.93282,242.854,243.069,10000.0,10000.0,11.7188,11.5895,11.7976,5.94054,305.306,10000.0,0.768466,10000.0,14.0763,126.561,382.17,3.53275,40.5208,11.3571,372.06,10000.0,700.712,378.237,0.637716,1.40368,3.94975
7f09f477d319cd79821c80504aa06a6e,Break_16_56.xml.cnf.xz,sat,sat,450.833,505.192,361.064,85.5273,69.2878,10000.0,47.1032,146.43,271.911,187.295,195.434,125.492,448.107,117.155,229.904,204.551,374.94,367.806,617.746,1305.77,1728.02,948.43,4715.09,1861.84,1775.34,306.949,300.942,517.635,256.532,351.565,268.717,123.799,10000.0,3081.55,1467.9,10000.0,2740.47,348.925,106.395,42.1874,195.081,38.9299,191.115,351.482,81.3132,309.182,101.252,45.9362,254.209,219.559
807133f4461a11e39a390dfcf67a4fc6,summle_X11113_steps8_I1-2-2-4-4-8-25-100.cnf.xz,sat,sat,57.1315,58.4226,60.2786,128.865,101.479,469.617,70.4413,43.2452,301.486,112.832,101.862,222.803,119.493,135.213,49.6713,120.795,104.827,116.173,18.71,67.7488,39.1326,48.6731,253.53,29.4513,35.5737,102.334,43.6721,16.3381,43.4378,63.9865,134.993,24.6589,25.0414,184.8,146.262,262.095,57.2467,29.6918,72.4306,40.861,25.6573,101.402,196.125,66.1284,215.489,42.2111,69.5969,37.763,44.9412,84.2917
810ce4a78bc01ddc5a043d95f9584f2f,005-80-12.cnf.xz,sat,sat,2459.43,1654.57,2949.2,2355.1,2894.93,10000.0,10000.0,3833.59,2630.85,3283.96,3855.86,10000.0,2743.47,10000.0,840.127,1581.53,634.803,655.546,798.943,432.344,844.619,733.517,689.768,767.38,635.398,3127.88,2514.8,2187.96,10000.0,2160.09,2693.99,2448.75,508.5,1925.49,993.349,3154.81,2327.55,2594.91,1139.26,10000.0,10000.0,4669.68,3244.85,10000.0,10000.0,10000.0,10000.0,2298.75,3123.07,2268.23
889b6d29998ade866e64c46f807a98bc,6s320rb1_Iter9.cnf.xz,sat,sat,66.9744,227.687,238.467,274.439,172.893,10000.0,167.806,326.339,303.606,227.91,315.189,353.189,2137.28,206.294,1351.89,1885.93,2184.17,1551.69,1427.18,390.287,670.616,1445.6,571.72,587.098,278.626,521.757,353.914,232.809,296.43,311.447,458.921,349.254,494.131,203.224,217.538,175.227,736.212,400.36,158.907,173.542,362.679,481.352,449.546,144.912,388.793,212.671,411.633,333.82,333.343,1287.29
8aee61ed27bf700a548ca9c097203749,SAT_MS_sat_snake_p01.pddl_39.cnf.xz,sat,sat,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,3938.12,10000.0,10000.0,10000.0,10000.0,1963.88,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,4637.33,10000.0,10000.0,10000.0,10000.0,3909.09,4829.45,3144.18,3843.01,10000.0,10000.0,10000.0
8bb5819a23a8f1dff851d608bec008ca,ITC2021_Late_6.xml.cnf.xz,sat,sat,39.3672,114.948,95.9541,32.5031,37.0251,1577.97,32.4318,42.6167,86.2767,94.2542,129.877,160.28,101.856,12.9828,66.6512,159.961,75.6067,109.921,75.4508,152.642,79.8123,371.341,259.88,229.554,311.56,52.7954,137.657,44.7652,45.4389,78.8331,74.974,84.4091,150.187,1224.49,319.595,10000.0,120.292,54.1086,67.8801,173.276,57.6927,116.481,79.9638,15.9397,13.0015,146.407,69.312,45.3111,20.4505,65.7444
